adp_source,player_name_raw,position,team,reason,retrieved_at,quarantined_at
ffc_ppr_12team,Rondale Moore,WR,FA,no_name_match,2026-07-30T04:11:42.658642+00:00,2026-07-30T04:11:42.658642+00:00
ffc_ppr_12team,Rondale Moore,WR,FA,no_name_match,2026-07-30T04:11:47.969500+00:00,2026-07-30T04:11:47.969500+00:00
ffc_ppr_12team,San Francisco Defense,DEF,SF,no_name_match,2026-07-30T04:11:03.662695+00:00,2026-07-30T04:11:03.662695+00:00
ffc_ppr_12team,San Francisco Defense,DEF,SF,no_name_match,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,San Francisco Defense,DEF,SF,no_name_match,2026-07-30T04:11:30.548589+00:00,2026-07-30T04:11:30.548589+00:00
ffc_ppr_12team,San Francisco Defense,DEF,SF,no_name_match,2026-07-30T04:11:36.302112+00:00,2026-07-30T04:11:36.302112+00:00
ffc_ppr_12team,San Francisco Defense,DEF,SF,no_name_match,2026-07-30T04:11:42.658642+00:00,2026-07-30T04:11:42.658642+00:00
ffc_ppr_12team,San Francisco Defense,DEF,SF,no_name_match,2026-07-30T04:11:47.969500+00:00,2026-07-30T04:11:47.969500+00:00
ffc_ppr_12team,San Francisco Defense,DEF,SF,no_name_match,2026-07-30T04:11:54.283870+00:00,2026-07-30T04:11:54.283870+00:00
ffc_ppr_12team,Seattle Defense,DEF,SEA,no_name_match,2026-07-30T04:11:03.662695+00:00,2026-07-30T04:11:03.662695+00:00
ffc_ppr_12team,Seattle Defense,DEF,SEA,no_name_match,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,Seattle Defense,DEF,SEA,no_name_match,2026-07-30T04:11:09.220453+00:00,2026-07-30T04:11:09.220453+00:00
ffc_ppr_12team,Seattle Defense,DEF,SEA,no_name_match,2026-07-30T04:11:12.555584+00:00,2026-07-30T04:11:12.555584+00:00
ffc_ppr_12team,Seattle Defense,DEF,SEA,no_name_match,2026-07-30T04:11:16.024656+00:00,2026-07-30T04:11:16.024656+00:00
ffc_ppr_12team,Seattle Defense,DEF,SEA,no_name_match,2026-07-30T04:11:25.193776+00:00,2026-07-30T04:11:25.193776+00:00
ffc_ppr_12team,Seattle Defense,DEF,SEA,no_name_match,2026-07-30T04:11:30.548589+00:00,2026-07-30T04:11:30.548589+00:00
ffc_ppr_12team,Tampa Bay Defense,DEF,TB,no_name_match,2026-07-30T04:11:03.662695+00:00,2026-07-30T04:11:03.662695+00:00
ffc_ppr_12team,Tampa Bay Defense,DEF,TB,no_name_match,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,Tampa Bay Defense,DEF,TB,no_name_match,2026-07-30T04:11:30.548589+00:00,2026-07-30T04:11:30.548589+00:00
ffc_ppr_12team,Tampa Bay Defense,DEF,TB,no_name_match,2026-07-30T04:11:36.302112+00:00,2026-07-30T04:11:36.302112+00:00
ffc_ppr_12team,Tampa Bay Defense,DEF,TB,no_name_match,2026-07-30T04:11:42.658642+00:00,2026-07-30T04:11:42.658642+00:00
